iso,year,total_foreign_debt,total_debt_GDP,GDP_percapita
MDA,2012,5.3201,61.086,2446.7253157714
MDA,2017,6.9737,72.119,2724.49309280928
MDG,2008,2.4797,26.343,470.733159841242
MDG,2012,2.9304,29.541,443.904749321728
MDG,2017,4.147196,36.1,448.400796541908
MDV,2008,1.1475,50.514,6614.15914742089
MDV,2012,0.89,30.837,7265.61365556669
MDV,2017,1.3648,28.05,9801.62454193575
MEA,2008,NA,NA,7160.39369853687
MEA,2012,NA,NA,8895.13543791559
MEA,2017,NA,NA,7422.02790339989
MEX,2008,197.6719,17.843,10016.5713043884
MEX,2012,349.2694,29.117,10241.7279153745
MEX,2017,455.0581,39.313,9281.10148290743
MEXI,2008,NA,NA,NA
MEXI,2012,NA,NA,NA
MEXI,2017,NA,NA,NA
MEX_Mont,2008,NA,NA,NA
MEX_Mont,2012,NA,NA,NA
MEX_Mont,2017,NA,NA,NA
MHL,2008,NA,NA,2719.91846761847
MHL,2012,NA,NA,3265.52003808382
MHL,2017,NA,NA,3516.7143201626
MIC,2008,NA,NA,3382.12475971778
MIC,2012,NA,NA,4823.5332016916
MIC,2017,NA,NA,5229.03176445357
MKD,2008,4.3375,43.771,4793.44366858209
MKD,2012,6.4694,66.385,4698.14129350594
MKD,2017,8.5655,75.939,5417.64201944282
MLI,2008,2.0554,21.099,690.88243975853
MLI,2012,3.0591,24.585,778.669462492053
MLI,2017,4.3679,28.471,828.613220238384
MLT,2008,NA,NA,21928.7006740562
MLT,2012,NA,NA,21931.7476232751
MLT,2017,NA,NA,27241.0906440045
MMR,2008,8.6418,33.4,638.149059869843
MMR,2012,11.2787,18.5,1165.79432896131
MMR,2017,16.1384,24.051,1249.82875661238
MNA,2008,NA,NA,3847.27374567882
MNA,2012,NA,NA,5010.58188418024
MNA,2017,NA,NA,3817.68617419562
MNE,2008,NA,NA,7367.75190910882
MNE,2012,NA,NA,6586.7212793222
MNE,2017,NA,NA,7784.06528996557
MNG,2008,2.1838,38.346,2136.56321364601
MNG,2012,15.5671,126.636,4351.8869200565
MNG,2017,28.199,246.802,3671.94841892492
MNP,2008,NA,NA,17189.9313501144
MNP,2012,NA,NA,13827.7696967465
MNP,2017,NA,NA,28163.7848732364
MOZ,2008,3.4893,30.355,516.005095814733
MOZ,2012,5.4899,35.998,613.984066002961
MOZ,2017,12.0099,94.9,441.61783689092
MRT,2008,2.0053,49.746,1222.92391157219
MRT,2012,3.3141,63.352,1411.35283025415
MRT,2017,4.2308,85.034,1161.78545671604
MSR,2008,NA,NA,NA
MSR,2012,NA,NA,NA
MSR,2017,NA,NA,NA
MTQ,2008,NA,NA,NA
MTQ,2012,NA,NA,NA
MTQ,2017,NA,NA,NA
MUS,2008,4.2048,42.089,8030.06300537304
MUS,2012,10.1112,86.652,9291.22761861899
MUS,2017,21.064,158.862,10484.9083620411
MWI,2008,0.9946,18.692,387.605975305468
